Brand,Product Name,Rating,No. of Ratings,Discounted Price,Original Price,Discount,Offer Price
RALPH LAUREN,Polo Red Set - EDT + Body wash After shave balm & Travel bag,N/A,N/A,"₹12,600",N/A,N/A,"₹10,600"
PRADA,Luna Rossa Ocean Eau De Toilette,3.8,14,"₹8,600",N/A,N/A,"₹6,600"
JAGUAR,Classic Motion Eau de Toilette,4.1,32,"₹2,255","₹4,100",(45% off),"₹1,763"
CALVIN KLEIN,One Eau De Toilette,3.8,58,"₹3,153","₹4,850",(35% off),"₹3,053"
Armani,Code Eau De Parfum,N/A,N/A,"₹7,120","₹8,900",(20% off),"₹5,607"
PRADA,Luna Rossa Carbon Eau De Toilette,3,2,"₹6,500",N/A,N/A,"₹5,070"
Beardo,Mafia Eau De Parfum,3.8,123,₹300,₹999,(70% off),₹277
WILD STONE,Perfume Gift Set of Whisky Cigar and Ammo Perfume for Men,3.4,23,₹355,₹645,(45% off),₹284
Jack & Jones,Blue Heritage Eau De Toilette Perfume,4,6,"₹2,399","₹2,999",(20% off),"₹2,063"
AZZARO,Chrome Parfum,4.8,5,"₹6,780",N/A,N/A,"₹5,017"
Beardo,Dark Side Eau De Parfum,4,319,₹525,"₹1,500",(65% off),₹459
Beardo,Men Legacy & Godfather Deo Spray Set,4.1,36,₹214,₹648,(67% off),₹194
AJMAL,Blu EDP 90 ml,3.8,154,"₹2,400","₹3,000",(20% off),"₹1,740"
POLICE,Deep Blue Eau De Toilette,5,10,"₹2,240","₹3,200",(30% off),"₹1,760"
NIKE,Hub Man Eau De Toilette for Men,N/A,N/A,₹918,₹998,(8% off),₹749
AZZARO,Pour Homme Eau De Toilette,4.2,11,"₹5,350",N/A,N/A,"₹3,959"
LACOSTE,Heritage Essential Eau de Toilette,N/A,N/A,"₹4,400",N/A,N/A,"₹3,432"
NAUTICA,Voyage Man Eau De Toilette,4.2,90,"₹2,340","₹3,900",(40% off),"₹2,145"
DAVIDOFF,Cool Water Reborn Eau De Parfum for Men,4.3,9,"₹4,400",N/A,N/A,"₹3,344"
CALVIN KLEIN,Be Eau De Toilette,4.1,33,"₹3,055","₹4,700",(35% off),"₹2,955"
CALVIN KLEIN,Defy Eau De Parfum,N/A,N/A,"₹3,640","₹5,600",(35% off),"₹3,540"
SNITCH,Men Woody Fragrance Long Lasting Parfume,N/A,N/A,₹824,"₹1,499",(45% off),₹724
Jack & Jones,02-Blue Eau De Toilette Perfume,N/A,N/A,"₹1,749","₹2,499",(30% off),"₹1,474"
ADIDAS,Uefa N9 Eau De Toilette for Men,4.5,11,"₹1,319","₹1,499",(12% off),"₹1,049"
TOMMY HILFIGER,Impact Intense Eau De Parfumfor Men,5,4,"₹4,895","₹8,900",(45% off),"₹3,827"
OMBRE BLISS,Men Vicious Long-Lasting Perfume 100ml,N/A,N/A,"₹1,079","₹1,199",(10% off),₹923
MAMAEARTH,Into the Waves Eau De Parfum For Men,N/A,N/A,₹629,₹899,(30% off),₹450
RALPH LAUREN,Polo Black Eau De Toilette,3.6,5,"₹5,400",N/A,N/A,"₹3,996"
WILD STONE,Code Terra Eau De Parfum,4.2,51,₹650,"₹1,299",(50% off),₹455
AJMAL,Prose Eau De Parfum- 100 ml,3.9,67,₹675,"₹1,500",(55% off),₹570
RALPH LAUREN,Polo Blue Eau De Parfum,3.7,3,"₹6,000",N/A,N/A,"₹4,500"
The Man Company,Night Eau De Parfum,4.1,34,₹412,₹749,(45% off),₹345
AJMAL,Carbon EDP 100 ml,3.8,53,"₹1,200","₹1,500",(20% off),₹915
VILLAIN,Exotic OUD Luxury Premium Long Lasting Fragrance Eau De Perfum for Men,N/A,N/A,₹219,₹399,(45% off),₹184
PARK AVENUE,Harmony Eau De Parfum,3.5,22,₹659,₹749,(12% off),₹577
La French,Kombat Eau De Parfum For Men,3.1,7,₹189,₹650,(71% off),N/A
CALVIN KLEIN,Eternity Aromatic Essence Perfume for Men,4.7,7,"₹4,485","₹6,900",(35% off),"₹4,385"
La French,Mortal Eau De Parfum For Men,3.2,5,₹189,₹650,(71% off),N/A
AJMAL,Impress By Ajmal 10 ml,4.1,36,₹300,₹500,(40% off),₹250
Jack & Jones,01-White Eau De Toilette Perfume,1.5,4,"₹1,999","₹2,499",(20% off),"₹1,719"
ADEN,Aden Oud Aswad Perfume Spray,2.3,3,"₹1,590","₹3,000",(47% off),"₹1,230"
CALVIN KLEIN,Eternity Eau De Toilette,3.9,7,"₹2,990","₹4,600",(35% off),"₹2,890"
WILD STONE,Code Acqua Terra Pyro Premium Eau De Parfum for Men,4.4,16,₹549,₹999,(45% off),₹480
AJMAL,Dahnul Oudh Raashid CP,3.5,11,"₹2,550","₹3,000",(15% off),"₹1,860"
Whiskers,Pandora Eau De Parfum for Men,N/A,N/A,₹779,"₹1,199",(35% off),₹623
Ustraa,Scuba Cologne Perfume,3.9,75,₹575,₹899,(36% off),₹403
The Man Company,Sky Eau De Parfum,4.2,22,₹449,₹749,(40% off),₹375
CALVIN KLEIN,All Eau De Toilette,4.4,9,"₹3,868","₹5,950",(35% off),"₹3,768"
ENGAGE,L'amante Aqua Eau De Parfum For Man,4.1,8,₹859,₹999,(14% off),₹601
Beardo,Whisky Smoke Eau De Parfum,4,671,₹540,"₹1,200",(55% off),₹472
Reebok,Men Eau de Toilette Move Your Spirit for Men,N/A,N/A,₹500,₹999,(50% off),₹437
AJMAL,Classic Oud Concentrated Perfume Oil Woody Oudh Alcohol-Free Attar For Unisex And Cd 99 Mukhallat Concentrated Perfume Oil Floral Oriental Alcohol-Free Attar For Unisex + 2 Parfum Testers,N/A,N/A,"₹2,275","₹3,250",(30% off),"₹1,658"
Beardo,Deodorant Gift Box Set,3.8,8,₹322,₹947,(66% off),₹284
Beardo,Men Iceman Darkside & Spy Body Spray Set,3.8,16,₹319,₹997,(68% off),₹295
Beardo,Men Spy Mafia & Don Most Wanted Body Spray Set,4.3,53,₹322,₹947,(66% off),₹284
TOMMY HILFIGER,Impact Eau De Toilette for Men,N/A,N/A,"₹4,455","₹8,100",(45% off),"₹3,726"
ADEN,Aden Proximity Perfume Spray,2.7,3,"₹1,590","₹3,000",(47% off),"₹1,230"
Beardo,Legend Perfume Eau De Parfum for Men,4.2,25,₹540,"₹1,200",(55% off),₹472
AJMAL,Asher Concentrated Perfume Oil Oriental Alcohol-Free Attar For Unisex Mizyaan Concentrated Perfume Oil Oriental Musky Alcohol-Free Attar,3.8,5,"₹2,600","₹3,250",(20% off),"₹2,080"
METAMAN,Men Extrait De Perfume,N/A,N/A,₹999,N/A,N/A,₹899
